Tot,Response,Type,AutN,Study,Continent,Taxa,Source,StudyType,STBin,yi,vi,se,lowerci,upperci
Study,F0,Event-based,38,A,North,Avian,Traffic,Acute,1,-0.035183925,0.222256609,0.471440992,-0.959208268,0.888840419
Study,Duration,Continuous,10,AA,North,Avian,Urban,Chronic,0,0.482803739,0.03129551,0.033431973,0.417277072,0.548330405
Study,Max Frequency,Continuous,68,AA,North,Avian,Urban,Chronic,0,0.88643683,0.025319567,0.030071087,0.8274975,0.94537616
Study,Min Frequency,Continuous,99,AA,North,Avian,Urban,Chronic,0,0.033706373,0.03502336,0.035367136,-0.035613213,0.103025959
Study,Duration,Continuous,12,AB,North,Avian,Energy,Chronic,0,-0.893987221,0.017828815,0.02111209,-0.935366918,-0.852607523
Study,Duration,Continuous,13,AB,North,Avian,Energy,Chronic,0,1.912039083,0.018705232,0.030582047,1.852098271,1.971979895
Study,F0,Continuous,40,AB,North,Avian,Energy,Chronic,0,0.198184375,0.024185496,0.024589376,0.149989199,0.246379552
Study,F0,Continuous,41,AB,North,Avian,Energy,Chronic,0,0.547094977,0.042086772,0.045873071,0.457183759,0.637006196
Study,Max Frequency,Continuous,65,AB,North,Avian,Energy,Chronic,0,2.027101064,0.017517907,0.029595529,1.969093827,2.085108302
Study,Min Frequency,Continuous,100,AB,North,Avian,Energy,Chronic,0,1.396572959,0.013150139,0.01813156,1.361035101,1.432110817
Study,Min Frequency,Continuous,101,AB,North,Avian,Energy,Chronic,0,0.086174964,0.048466405,0.049227231,-0.010310407,0.182660336
Study,Duration,Continuous,20,AC,EU,Avian,Urban,Chronic,0,-0.805661917,0.018756604,0.021654448,-0.848104635,-0.7632192
Study,F0,Continuous,47,AC,EU,Avian,Urban,Chronic,0,0.380193729,0.022980906,0.023969202,0.333214093,0.427173365
Study,Max Frequency,Continuous,77,AC,EU,Avian,Urban,Chronic,0,0.301078054,0.023578607,0.024278904,0.253491402,0.348664706
Study,Min Frequency,Continuous,102,AC,EU,Avian,Urban,Chronic,0,1.343389269,0.013583682,0.018428023,1.307270343,1.379508195
Study,Min Frequency,Continuous,103,AD,SA,Avian,Traffic,Chronic,0,1.007126844,0.037835113,0.047176211,0.914661471,1.099592218
Study,Min Frequency,Continuous,104,AD,SA,Avian,Traffic,Chronic,0,0.428205915,0.029926684,0.031584112,0.366301056,0.490110774
Study,Min Frequency,Continuous,105,AD,SA,Avian,Traffic,Chronic,0,2.691671708,0.018107674,0.037321549,2.618521472,2.764821944
Study,Min Frequency,Continuous,106,AD,SA,Avian,Traffic,Chronic,0,0.713560384,0.036851008,0.041890451,0.6314551,0.795665669
Study,Min Frequency,Continuous,107,AD,SA,Avian,Traffic,Chronic,0,0.192837466,0.055814063,0.057299041,0.080531344,0.305143587
Study,Min Frequency,Continuous,108,AD,SA,Avian,Traffic,Chronic,0,0.517647059,0.033118647,0.035690253,0.447694164,0.587599954
Study,Min Frequency,Continuous,109,AD,SA,Avian,Traffic,Chronic,0,-0.294463261,0.048866843,0.050714289,-0.393863268,-0.195063255
Study,Min Frequency,Continuous,110,AD,SA,Avian,Traffic,Chronic,0,0.218466226,0.024083,0.024537217,0.170373282,0.266559171
Study,Min Frequency,Continuous,111,AD,SA,Avian,Traffic,Chronic,0,1.910107325,0.024341009,0.040283172,1.831152308,1.989062341
Study,Min Frequency,Continuous,112,AD,SA,Avian,Traffic,Chronic,0,-0.07794289,0.034932331,0.035321144,-0.147172334,-0.008713447
Study,Min Frequency,Continuous,113,AD,SA,Avian,Traffic,Chronic,0,0.473749894,0.028447538,0.030292945,0.414375722,0.533124066
Study,Min Frequency,Continuous,114,AD,SA,Avian,Traffic,Chronic,0,-0.376312141,0.052909932,0.05578843,-0.485657464,-0.266966818
Study,Min Frequency,Continuous,115,AD,SA,Avian,Traffic,Chronic,0,0.771130104,0.032705821,0.037709312,0.697219853,0.845040356
Study,Min Frequency,Continuous,116,AD,SA,Avian,Traffic,Chronic,0,1.257930832,0.01831327,0.024305362,1.210292322,1.305569342
Study,Min Frequency,Continuous,117,AD,SA,Avian,Traffic,Chronic,0,0,0.032751686,0.03304123,-0.064760811,0.064760811
Study,Min Frequency,Continuous,118,AD,SA,Avian,Traffic,Chronic,0,1.21799652,0.039620721,0.053198228,1.113727993,1.322265047
Study,Min Frequency,Continuous,119,AD,SA,Avian,Traffic,Chronic,0,2.467554645,0.009165824,0.017195108,2.433852232,2.501257057
Study,Min Frequency,Continuous,120,AD,SA,Avian,Traffic,Chronic,0,1.692252446,0.0179437,0.027343265,1.638659646,1.745845246
Study,Min Frequency,Continuous,121,AD,SA,Avian,Traffic,Chronic,0,0.915750916,0.034335098,0.041433741,0.834540783,0.996961048
Study,Min Frequency,Continuous,122,AD,SA,Avian,Traffic,Chronic,0,1.332612515,0.023252886,0.031796148,1.270292065,1.394932966
Study,Min Frequency,Continuous,123,AD,SA,Avian,Traffic,Chronic,0,0.385405682,0.026908099,0.028132093,0.33026678,0.440544585
Study,Min Frequency,Continuous,124,AD,SA,Avian,Traffic,Chronic,0,0.449292949,0.03288503,0.034899342,0.380890239,0.517695659
Study,Min Frequency,Continuous,125,AD,SA,Avian,Traffic,Chronic,0,0.629370629,0.047158071,0.052668816,0.52613975,0.732601508
Study,Min Frequency,Continuous,126,AD,SA,Avian,Traffic,Chronic,0,0.538245887,0.038560665,0.041865947,0.456188631,0.620303143
Study,Min Frequency,Continuous,127,AD,SA,Avian,Traffic,Chronic,0,0.274613188,0.046772041,0.048359095,0.179829361,0.369397014
Study,Min Frequency,Continuous,128,AD,SA,Avian,Traffic,Chronic,0,2.581408666,0.007124382,0.01369247,2.554571424,2.608245908
Study,Min Frequency,Continuous,129,AD,SA,Avian,Traffic,Chronic,0,2.414772727,0.016458557,0.031115116,2.3537871,2.475758354
Study,Min Frequency,Continuous,130,AD,SA,Avian,Traffic,Chronic,0,0.298828914,0.032352791,0.033400801,0.233363344,0.364294483
Study,Duration,Continuous,23,AE,EU,Avian,Urban,Chronic,0,0.218356398,0.024691918,0.025161997,0.169038884,0.267673913
Study,Duration,Continuous,24,AE,EU,Avian,Urban,Chronic,0,0.260462421,0.019131021,0.019560686,0.222123477,0.298801365
Study,Duration,Continuous,25,AE,EU,Avian,Urban,Chronic,0,-0.412234043,0.012887083,0.013472498,-0.438640139,-0.385827946
Study,Max Frequency,Continuous,81,AE,EU,Avian,Urban,Chronic,0,0.522943723,0.022236755,0.0238783,0.476142255,0.569745191
Study,Max Frequency,Continuous,82,AE,EU,Avian,Urban,Chronic,0,0.138557721,0.019600909,0.019799449,0.099750801,0.177364641
Study,Max Frequency,Continuous,83,AE,EU,Avian,Urban,Chronic,0,-0.346393758,0.013186819,0.013628274,-0.373105175,-0.319682341
Study,Min Frequency,Continuous,160,AE,EU,Avian,Urban,Chronic,0,-0.571114787,0.021746132,0.02361341,-0.617397071,-0.524832504
Study,Min Frequency,Continuous,161,AE,EU,Avian,Urban,Chronic,0,-0.219320444,0.019318292,0.019656191,-0.257846578,-0.18079431
Study,Min Frequency,Continuous,162,AE,EU,Avian,Urban,Chronic,0,0.019789213,0.013980583,0.014032449,-0.007714387,0.047292813
Study,Rate,Continuous,177,AE,EU,Avian,Urban,Chronic,0,0.058884165,0.025254965,0.025447263,0.009007528,0.108760801
Study,Rate,Continuous,178,AE,EU,Avian,Urban,Chronic,0,-0.323431358,0.018793917,0.019387582,-0.361431019,-0.285431697
Study,Rate,Continuous,179,AE,EU,Avian,Urban,Chronic,0,0.199871051,0.01370511,0.013893514,0.172639764,0.227102338
Study,Duration,Continuous,26,AF,EU,Avian,Urban,Chronic,0,-0.444595337,0.044064474,0.04693851,-0.536594816,-0.352595859
Study,Min Frequency,Continuous,131,AF,EU,Avian,Urban,Chronic,0,2.532779303,0.013356003,0.02584183,2.482129317,2.583429289
Study,Max Frequency,Continuous,66,AG,North,Avian,Urban,Chronic,0,0.156638852,0.034597251,0.035151331,0.087742243,0.225535462
Study,Min Frequency,Continuous,132,AG,North,Avian,Urban,Chronic,0,2.189689099,0.011687521,0.02043065,2.149645025,2.229733173
Study,Duration,Continuous,180,AH,North,Mammalian,Energy,Chronic,0,0.281618631,2.189352743,0.199859647,-0.110106277,0.67334354
Study,F0,Continuous,50,B,AS,Hemiptera,Urban,Chronic,0,0.076279253,0.046570625,0.215802283,-0.346693221,0.499251727
Study,Max Frequency,Continuous,84,B,AS,Hemiptera,Urban,Chronic,0,0.398101144,0.047458218,0.217849072,-0.028883037,0.825085325
Study,Min Frequency,Continuous,163,B,AS,Hemiptera,Urban,Chronic,0,0.089480012,0.046583347,0.215831756,-0.33355023,0.512510254
Study,Min Frequency,Continuous,164,B,AS,Hemiptera,Urban,Chronic,0,0.076279253,0.046570625,0.215802283,-0.346693221,0.499251727
Study,Duration,Event-based,7,C,North,Avian,Other,Acute,1,0.032797374,0.100013446,0.316249025,-0.587050715,0.652645463
Study,Duration,Continuous,14,C,North,Avian,Traffic,Chronic,0,0.316510749,0.064303136,0.253580631,-0.180507288,0.813528785
Study,Max Frequency,Event-based,56,C,North,Avian,Other,Acute,1,-0.071535345,0.100063966,0.316328889,-0.691539968,0.548469278
Study,Max Frequency,Continuous,71,C,North,Avian,Traffic,Chronic,0,0.797889694,0.068560667,0.26184092,0.284681491,1.311097898
Study,Min Frequency,Event-based,89,C,North,Avian,Other,Acute,1,0.116643418,0.100170071,0.316496558,-0.503689836,0.736976671
Study,Min Frequency,Continuous,135,C,North,Avian,Traffic,Chronic,0,-0.321704085,0.064329442,0.253632493,-0.818823772,0.175415601
Study,Duration,Continuous,15,D,North,Avian,Urban,Chronic,0,-1.026638586,0.234683003,0.484440918,-1.976142786,-0.077134387
Study,Duration,Continuous,16,D,North,Avian,Urban,Chronic,0,-0.845523353,0.226206077,0.475611267,-1.777721436,0.086674729
Study,Duration,Continuous,17,D,North,Avian,Urban,Chronic,0,-0.510979321,0.21486083,0.46353083,-1.419499747,0.397541105
Study,Duration,Continuous,18,D,North,Avian,Urban,Chronic,0,-0.136060139,0.208796142,0.456942165,-1.031666783,0.759546505
Study,Duration,Continuous,19,D,North,Avian,Urban,Chronic,0,-1.263718007,0.248257913,0.498254868,-2.240297548,-0.287138466
Study,F0,Continuous,44,D,North,Avian,Urban,Chronic,0,1.031044929,0.234909674,0.484674813,0.081082295,1.981007562
Study,F0,Continuous,45,D,North,Avian,Urban,Chronic,0,2.06370703,0.314805501,0.561075308,0.963999427,3.163414633
Study,F0,Continuous,46,D,North,Avian,Urban,Chronic,0,1.708231467,0.281284702,0.530362802,0.668720375,2.747742559
Study,Max Frequency,Continuous,74,D,North,Avian,Urban,Chronic,0,1.346684366,0.253672303,0.503658915,0.359512892,2.33385584
Study,Max Frequency,Continuous,75,D,North,Avian,Urban,Chronic,0,1.105138918,0.238866634,0.488739843,0.147208826,2.06306901
Study,Max Frequency,Continuous,76,D,North,Avian,Urban,Chronic,0,0.860795087,0.226857538,0.476295641,-0.07274437,1.794334544
Study,Min Frequency,Continuous,154,D,North,Avian,Urban,Chronic,0,4.623078256,0.742654647,0.861774128,2.934000966,6.312155547
Study,Min Frequency,Continuous,155,D,North,Avian,Urban,Chronic,0,3.071523533,0.444189754,0.666475621,1.765231315,4.37781575
Study,Min Frequency,Continuous,156,D,North,Avian,Urban,Chronic,0,5.279866134,0.905257993,0.951450468,3.415023216,7.144709051
Study,Rate,Continuous,175,D,North,Avian,Urban,Chronic,0,0.771132715,0.223199475,0.472439917,-0.154849522,1.697114952
Study,F0,Continuous,39,E,EU,Avian,Urban,Chronic,0,0.378554777,0.043616561,0.208845784,-0.03078296,0.787892513
Study,Max Frequency,Continuous,67,E,EU,Avian,Urban,Chronic,0,0.759229952,0.045782193,0.213967739,0.339853183,1.178606721
Study,Min Frequency,Continuous,133,E,EU,Avian,Urban,Chronic,0,0.316529565,0.043400998,0.208329061,-0.091795395,0.724854525
Study,Duration,Continuous,11,F,EU,Avian,Urban,Chronic,0,-1.767633076,0.154507315,0.393074185,-2.538058479,-0.997207673
Study,Max Frequency,Continuous,69,F,EU,Avian,Urban,Chronic,0,0,0.111111111,0.333333333,-0.653333333,0.653333333
Study,Min Frequency,Continuous,134,F,EU,Avian,Urban,Chronic,0,-0.173820158,0.111530742,0.333962187,-0.828386044,0.480745729
Study,Max Frequency,Event-based,57,G,North,Avian,Construction,Acute,1,-0.36706931,0.030150507,0.173639014,-0.707401778,-0.026736842
Study,Max Frequency,Event-based,58,G,North,Avian,Construction,Acute,1,0.241852413,0.029882031,0.172864198,-0.096961415,0.580666241
Study,Max Frequency,Event-based,59,G,North,Avian,Construction,Acute,1,0.663087781,0.031224259,0.176703874,0.316748187,1.009427374
Study,Max Frequency,Event-based,60,G,North,Avian,Traffic,Acute,1,-1.870791961,0.046466983,0.215562016,-2.293293512,-1.448290409
Study,Max Frequency,Event-based,61,G,North,Avian,Traffic,Acute,1,0.728951173,0.034593012,0.185991967,0.364406918,1.093495428
Study,Max Frequency,Event-based,62,G,North,Avian,Traffic,Acute,1,2.767416106,0.0631019,0.251200916,2.275062311,3.259769901
Study,Min Frequency,Event-based,91,G,North,Avian,Construction,Acute,1,-1.143746005,0.03428225,0.185154666,-1.50664915,-0.780842859
Study,Min Frequency,Event-based,92,G,North,Avian,Construction,Acute,1,-0.828101932,0.032090694,0.179138755,-1.179213893,-0.476989972
Study,Min Frequency,Event-based,93,G,North,Avian,Construction,Acute,1,-0.575463763,0.030842122,0.175619254,-0.9196775,-0.231250026
Study,Min Frequency,Event-based,94,G,North,Avian,Traffic,Acute,1,-3.886942841,0.092900831,0.304796376,-4.484343738,-3.289541943
Study,Min Frequency,Event-based,95,G,North,Avian,Traffic,Acute,1,-0.355079031,0.032971857,0.181581544,-0.710978856,0.000820794
Study,Min Frequency,Event-based,96,G,North,Avian,Traffic,Acute,1,-2.453121917,0.056538761,0.237778807,-2.919168378,-1.987075455
Study,Duration,Event-based,4,H,SA,Amphibian,Traffic,Acute,1,1.756493849,0.145858824,0.381914682,1.007941073,2.505046626
Study,Duration,Event-based,5,H,SA,Amphibian,Traffic,Acute,1,-0.904565322,0.095850418,0.309597186,-1.511375807,-0.297754837
Study,F0,Event-based,32,H,SA,Amphibian,Traffic,Acute,1,-0.551006032,0.109257995,0.330541972,-1.198868298,0.096856233
Study,F0,Event-based,33,H,SA,Amphibian,Traffic,Acute,1,1.067716314,0.099348023,0.315195214,0.449933694,1.685498934
Study,Rate,Event-based,169,H,SA,Amphibian,Traffic,Acute,1,-4.587803661,0.382209769,0.618231161,-5.799536737,-3.376070584
Study,Rate,Event-based,170,H,SA,Amphibian,Traffic,Acute,1,-0.455475482,0.089211499,0.298682941,-1.040894046,0.129943082
Study,Duration,Event-based,6,J,North,Avian,Urban,Acute,1,0,0.117647059,0.34299717,-0.672274454,0.672274454
Study,F0,Event-based,34,J,North,Avian,Urban,Acute,1,0.002566925,0.117647156,0.342997312,-0.669707805,0.674841656
Study,F0,Event-based,35,J,North,Avian,Urban,Acute,1,0.121706741,0.100185157,0.316520389,-0.498673221,0.742086704
Study,Max Frequency,Event-based,54,J,North,Avian,Urban,Acute,1,-0.0217995,0.117654047,0.343007358,-0.694093921,0.65049492
Study,Max Frequency,Event-based,55,J,North,Avian,Urban,Acute,1,-0.225568258,0.100636013,0.317231797,-0.84734258,0.396206064
Study,Min Frequency,Event-based,87,J,North,Avian,Urban,Acute,1,-0.019222775,0.117652493,0.343005092,-0.691512755,0.653067204
Study,Min Frequency,Event-based,88,J,North,Avian,Urban,Acute,1,-0.065289964,0.100053285,0.316312005,-0.685261495,0.554681566
Study,Amplitude,Continuous,1,J,OC,Avian,Traffic,Chronic,0,2.624170319,0.093039187,0.305023256,2.026324737,3.2220159
Study,Duration,Continuous,27,K,EU,Avian,Traffic,Chronic,0,-2.104566348,0.282481807,0.531490176,-3.146287093,-1.062845603
Study,Min Frequency,Continuous,165,K,EU,Avian,Traffic,Chronic,0,4.930733442,0.734366643,0.856951949,3.251107622,6.610359262
Study,F0,Continuous,43,L,EU,Avian,Urban,Chronic,0,-0.080112316,0.142267518,0.377183666,-0.8193923,0.659167669
Study,Max Frequency,Continuous,72,L,EU,Avian,Urban,Chronic,0,0.854567899,0.154748006,0.39338023,0.083542647,1.62559315
Study,Min Frequency,Continuous,136,L,EU,Avian,Urban,Chronic,0,0.786083522,0.152810782,0.390910197,0.019899536,1.552267507
Study,F0,Continuous,42,M,AS,Avian,Urban,Chronic,0,-0.043758015,0.209567327,0.457785241,-0.941017087,0.853501058
Study,Max Frequency,Continuous,70,M,AS,Avian,Urban,Chronic,0,-0.517899273,0.215619711,0.464348695,-1.428022716,0.392224169
Study,Min Frequency,Continuous,168,M,AS,Avian,Urban,Chronic,0,0.123438502,0.209870106,0.458115822,-0.774468509,1.021345514
Study,Amplitude,Continuous,2,N,North,Avian,Energy,Chronic,0,0.362898271,0.021447291,0.146448937,0.075858355,0.649938188
Study,Amplitude,Continuous,3,N,North,Avian,Energy,Chronic,0,0.411300049,0.043028413,0.207432912,0.004731542,0.817868556
Study,Duration,Continuous,30,N,North,Avian,Energy,Chronic,0,-0.352651417,0.021434198,0.146404228,-0.639603704,-0.065699129
Study,F0,Continuous,52,N,North,Avian,Energy,Chronic,0,0.263270957,0.021335892,0.146068107,-0.023022533,0.549564447
Study,F0,Event-based,37,O,North,Avian,Urban,Acute,1,0.367938498,0.112991371,0.336141892,-0.29089961,1.026776606
Study,Min Frequency,Event-based,90,O,North,Avian,Urban,Acute,1,0.129950696,0.125263862,0.353926351,-0.563744953,0.823646345
Study,Duration,Continuous,28,P,North,Avian,Energy,Chronic,0,0.737416392,0.177248953,0.421009446,-0.087762122,1.562594905
Study,Duration,Continuous,29,P,North,Avian,Energy,Chronic,0,-1.474832784,0.203561031,0.451177383,-2.359140454,-0.590525113
Study,F0,Continuous,51,P,North,Avian,Energy,Chronic,0,-1.248432386,0.193616703,0.44001898,-2.110869588,-0.385995184
Study,Max Frequency,Continuous,85,P,North,Avian,Energy,Chronic,0,-3.530181711,0.369481211,0.607849662,-4.721567048,-2.338796375
Study,Min Frequency,Continuous,166,P,North,Avian,Energy,Chronic,0,-1.367851555,0.198655969,0.44570839,-2.241439998,-0.494263111
Study,Duration,Event-based,8,Q,EU,Avian,Urban,Acute,1,-0.539033221,0.109086274,0.330282113,-1.186386161,0.10831972
Study,Duration,Continuous,21,Q,EU,Avian,Urban,Chronic,0,-0.73438897,0.115050955,0.339191621,-1.399204547,-0.069573394
Study,Max Frequency,Event-based,63,Q,EU,Avian,Urban,Acute,1,-0.2455333,0.106056403,0.32566302,-0.88383282,0.392766219
Study,Max Frequency,Continuous,78,Q,EU,Avian,Urban,Chronic,0,-0.665097073,0.113774994,0.337305491,-1.326215836,-0.00397831
Study,Min Frequency,Event-based,97,Q,EU,Avian,Urban,Acute,1,2.604208305,0.194498696,0.441020063,1.739808982,3.468607629
Study,Min Frequency,Continuous,157,Q,EU,Avian,Urban,Chronic,0,3.115390836,0.235660599,0.485448863,2.163911064,4.066870609
Study,Rate,Event-based,174,Q,EU,Avian,Urban,Acute,1,-0.479925734,0.108293799,0.329080232,-1.124922988,0.16507152
Study,Rate,Continuous,176,Q,EU,Avian,Urban,Chronic,0,-0.920802428,0.119110823,0.345124359,-1.597246172,-0.244358684
Study,Max Frequency,Event-based,53,R,North,Avian,Urban,Acute,1,-0.179638823,0.223118614,0.472354331,-1.105453312,0.746175665
Study,Min Frequency,Event-based,86,R,North,Avian,Urban,Acute,1,0.767695456,0.306762725,0.553861648,-0.317873375,1.853264287
Study,Rate,Event-based,171,R,North,Avian,Urban,Acute,1,0.074145344,0.222374931,0.471566466,-0.850124929,0.998415616
Study,Max Frequency,Continuous,73,S,EU,Orthoptera,Traffic,Chronic,0,0.401214925,0.021704717,0.147325207,0.112457519,0.68997233
Study,F0,Event-based,36,T,AF,Amphibian,Airplane,Acute,1,0.184706691,0.033475486,0.182963072,-0.17390093,0.543314312
Study,Rate,Event-based,173,T,AF,Amphibian,Airplane,Acute,1,0.434501079,0.15314652,0.391339392,-0.332524129,1.201526288
Study,Rate,Event-based,172,U,SA,Amphibian,Traffic,Acute,1,0.926906876,0.100672231,0.317288877,0.305020677,1.548793074
Study,Min Frequency,Continuous,149,V,SA,Avian,Urban,Chronic,0,0.073117267,0.064793043,0.254544777,-0.425790495,0.572025029
Study,Min Frequency,Continuous,150,V,SA,Avian,Urban,Chronic,0,0.228914515,0.065129156,0.255204145,-0.271285609,0.729114639
Study,Min Frequency,Continuous,151,V,SA,Avian,Urban,Chronic,0,0.116281837,0.064851439,0.254659456,-0.382850697,0.615414371
Study,Min Frequency,Continuous,152,V,SA,Avian,Urban,Chronic,0,0.098910159,0.064824737,0.254607024,-0.400119608,0.597939926
Study,Min Frequency,Continuous,153,V,SA,Avian,Urban,Chronic,0,0.228914515,0.065129156,0.255204145,-0.271285609,0.729114639
Study,Min Frequency,Continuous,137,W,AS,Avian,Urban,Chronic,0,1.049454333,0.042456179,0.206048972,0.645598348,1.453310317
Study,Min Frequency,Continuous,138,W,AS,Avian,Urban,Chronic,0,2.545078792,0.067345399,0.259509922,2.036439345,3.053718238
Study,Min Frequency,Continuous,139,W,AS,Avian,Urban,Chronic,0,1.584098177,0.048974756,0.221302408,1.150345458,2.017850897
Study,Min Frequency,Continuous,140,W,AS,Avian,Urban,Chronic,0,2.540382418,0.067234829,0.259296797,2.032160696,3.04860414
Study,Min Frequency,Continuous,141,W,AS,Avian,Urban,Chronic,0,1.428880565,0.046809629,0.216355331,1.004824117,1.852937013
Study,Min Frequency,Continuous,142,W,AS,Avian,Urban,Chronic,0,2.539224553,0.0672076,0.259244286,2.031105753,3.047343353
Study,Min Frequency,Continuous,143,W,AS,Avian,Urban,Chronic,0,1.551218083,0.04849749,0.220221456,1.11958403,1.982852137
Study,Min Frequency,Continuous,144,W,AS,Avian,Urban,Chronic,0,1.265498796,0.044771608,0.211593025,0.850776466,1.680221126
Study,Min Frequency,Continuous,145,W,AS,Avian,Urban,Chronic,0,2.045155076,0.056721479,0.238162716,1.578356153,2.511953999
Study,Min Frequency,Continuous,146,W,AS,Avian,Urban,Chronic,0,1.478491632,0.047477397,0.217893086,1.051421184,1.905562081
Study,Min Frequency,Continuous,147,W,AS,Avian,Urban,Chronic,0,2.06588092,0.057115945,0.238989425,1.597461647,2.534300193
Study,Min Frequency,Continuous,148,W,AS,Avian,Urban,Chronic,0,1.641654911,0.04983431,0.223235997,1.204112356,2.079197466
Study,Duration,Continuous,31,X,EU,Avian,Traffic,Chronic,0,-0.275599879,0.168249069,0.410181751,-1.07955611,0.528356352
Study,Min Frequency,Continuous,167,X,EU,Avian,Traffic,Chronic,0,0.716899366,0.177373848,0.421157747,-0.108569819,1.54236855
Study,Rate,Continuous,180,X,EU,Avian,Traffic,Chronic,0,0.288438337,0.168399931,0.410365606,-0.515878251,1.092754926
Study,Duration,Continuous,22,Y,North,Avian,Urban,Chronic,0,-1.117497793,0.115610016,0.34001473,-1.783926663,-0.451068922
Study,F0,Continuous,48,Y,North,Avian,Urban,Chronic,0,-1.692104772,0.135790232,0.368497262,-2.414359405,-0.969850138
Study,F0,Continuous,49,Y,North,Avian,Urban,Chronic,0,0.339075139,0.101437149,0.318491993,-0.285169166,0.963319445
Study,Max Frequency,Continuous,79,Y,North,Avian,Urban,Chronic,0,-1.095673449,0.115006254,0.33912572,-1.760359859,-0.430987038
Study,Max Frequency,Continuous,80,Y,North,Avian,Urban,Chronic,0,-2.285927879,0.165318328,0.406593567,-3.08285127,-1.489004489
Study,Min Frequency,Continuous,158,Y,North,Avian,Urban,Chronic,0,1.697600314,0.136023085,0.368813076,0.974726684,2.420473943
Study,Min Frequency,Continuous,159,Y,North,Avian,Urban,Chronic,0,2.868419905,0.202847909,0.4503864,1.985662561,3.751177249
Study,Duration,Continuous,9,Z,North,Avian,Urban,Chronic,0,-0.569799234,0.024192659,0.026291041,-0.621329674,-0.518268793
Study,Max Frequency,Continuous,64,Z,North,Avian,Urban,Chronic,0,0.475134621,0.025247717,0.026858208,0.422492533,0.52777671
Study,Min Frequency,Continuous,98,Z,North,Avian,Urban,Chronic,0,0.997740566,0.019092514,0.02335595,0.951962904,1.043518229
,Amplitude,Summary,Overall,,,,,Overall,,1.1143,,,-0.3294,2.558
,Duration,Summary,Event-based Total,,,,,Acute Total,,0.069138536,,0.336208035,-0.589829213,0.158756462
,Duration,Summary,Continuous Total,,,,,Chronic Total,,-0.438631667,,0.254290381,-0.937040813,0.059777479
,Duration,Summary,Overall,,,,,Overall,,-0.35108508,,0.268414114,-0.877176744,0.175006583
,F0,Summary,Event-based Total,,,,,Acute Total,,0.165492173,,0.327971549,-0.477332063,0.808316409
,F0,Summary,Continuous Total,,,,,Chronic Total,,0.280087796,,0.300231278,-0.308365508,0.8685411
,F0,Summary,Overall,,,,,Overall,,0.241889255,,0.309478035,-0.364687693,0.848466203
,Max Frequency,Summary,Event-based Total,,,,,Acute Total,,0.129033725,,0.26823158,-0.396700172,0.654767622
,Max Frequency,Summary,Continuous Total,,,,,Chronic Total,,0.117742714,,0.245221596,-0.362891615,0.598377043
,Max Frequency,Summary,Overall,,,,,Overall,,0.121506384,,0.252891591,-0.374161134,0.617173902
,Min Frequency,Summary,Event-based Total,,,,,Acute Total,,-0.475705863,,0.299057593,-1.061858746,0.11044702
,Min Frequency,Summary,Continuous Total,,,,,Chronic Total,,1.137384944,,0.181929052,0.780804002,2.667760787
,Min Frequency,Summary,Overall,,,,,Overall,,0.904166996,,0.152882531,0.604517236,1.203816757
,Rate,Summary,Event-based Total,,,,,Acute Total,,-0.681275263,,0.404364845,-1.473830359,0.111279833
,Rate,Summary,Continuous Total,,,,,Chronic Total,,0.012348747,,0.21444304,-0.407959612,0.432657106
,Rate,Summary,Overall,,,,,Overall,,-0.334463258,,0.309403943,-0.940894985,0.271968469
